date,open,high,low,close
11/17/1993,29.2376,29.2376,28.9839,29.0619
11/18/1993,29.0229,29.0815,28.9058,28.9839
11/19/1993,28.8863,28.9644,28.8667,28.9253
11/22/1993,28.8473,28.8667,28.6521,28.7496
11/23/1993,28.9058,28.9253,28.7496,28.9058
11/24/1993,28.9839,29.0424,28.9448,29.0229
11/26/1993,29.1010,29.1010,29.0229,29.0424
11/29/1993,29.1205,29.1790,28.9253,28.9253
11/30/1993,28.9058,29.0815,28.8863,28.9448
12/1/1993,29.1010,29.1205,28.9839,28.9839
12/2/1993,29.0424,29.0815,28.9839,29.0619
12/3/1993,29.0424,29.1790,29.0424,29.1790
12/6/1993,29.2181,29.3157,29.2181,29.2767
12/7/1993,29.2767,29.2961,29.2181,29.2571
12/8/1993,29.2571,29.2571,29.2181,29.2571
12/9/1993,29.2571,29.2961,29.1205,29.1595
12/10/1993,29.1790,29.1790,29.0424,29.1010
12/13/1993,29.1010,29.2767,29.0619,29.2767
12/14/1993,29.2961,29.2961,29.0619,29.0619
12/15/1993,29.1010,29.1205,29.0229,29.0229
12/16/1993,29.1400,29.1400,29.0815,29.1205
12/17/1993,29.1812,29.2991,29.1616,29.2795
12/20/1993,29.2598,29.3384,29.2402,29.3188
12/21/1993,29.2795,29.2795,29.1812,29.2205
12/22/1993,29.2991,29.4367,29.2402,29.4170
12/23/1993,29.3974,29.4563,29.3581,29.3974
12/27/1993,29.3974,29.5546,29.3974,29.5546
12/28/1993,29.5349,29.6332,29.5153,29.6135
12/29/1993,29.6332,29.6528,29.5546,29.5742
12/30/1993,29.5546,29.5546,29.3974,29.4563
12/31/1993,29.5153,29.5546,29.2795,29.2991
1/3/1994,29.2991,29.3384,29.1812,29.2205
1/4/1994,29.2598,29.3384,29.2205,29.3384
1/5/1994,29.3777,29.4170,29.2598,29.3974
1/6/1994,29.4367,29.4563,29.3581,29.3974
1/7/1994,29.4563,29.5939,29.3777,29.5742
1/10/1994,29.6135,29.9279,29.5349,29.9279
1/11/1994,29.9083,29.9083,29.7707,29.8690
1/12/1994,29.8886,29.8886,29.6725,29.7707
1/13/1994,29.6921,29.7511,29.6528,29.6921
1/14/1994,29.7904,29.8690,29.7904,29.8100
1/17/1994,29.8100,29.8493,29.7511,29.8100
1/18/1994,29.8493,29.8886,29.7904,29.8493
1/19/1994,29.8100,29.8493,29.7118,29.7707
1/20/1994,29.8100,29.8690,29.7904,29.8493
1/21/1994,29.8886,29.8886,29.7707,29.7904
1/24/1994,29.7707,29.9083,29.6725,29.6725
1/25/1994,29.6921,29.7118,29.6135,29.6725
1/26/1994,29.6725,29.7707,29.6332,29.7511
1/27/1994,29.8100,30.0655,29.7707,30.0262
1/28/1994,30.1441,30.2030,30.1048,30.1048
1/31/1994,30.2227,30.3799,30.1834,30.3209
2/1/1994,30.2816,30.2816,30.1244,30.1637
2/2/1994,30.2620,30.3602,30.2423,30.3602
2/3/1994,30.3013,30.3013,30.1244,30.2227
2/4/1994,30.2227,30.2620,29.5349,29.5349
2/7/1994,29.4563,29.7511,29.4563,29.6725
2/8/1994,29.7314,29.7314,29.5742,29.6921
2/9/1994,29.7118,29.8297,29.6725,29.8100
2/10/1994,29.7904,29.8100,29.5546,29.5546
2/11/1994,29.5742,29.7314,29.4367,29.6528
2/14/1994,29.5939,29.7904,29.5546,29.6921
2/15/1994,29.7511,29.8690,29.7118,29.8493
2/16/1994,29.8886,29.8886,29.7707,29.8297
2/17/1994,29.9672,29.9869,29.5742,29.6528
2/18/1994,29.6725,29.6921,29.3974,29.4760
2/22/1994,29.5546,29.7707,29.5546,29.7707
2/23/1994,29.8100,29.8297,29.5939,29.6921
2/24/1994,29.5939,29.5939,29.2795,29.2991
2/25/1994,29.3384,29.4367,29.2795,29.4367
2/28/1994,29.5153,29.5939,29.4367,29.4367
3/1/1994,29.4367,29.4956,29.1616,29.3188
3/2/1994,28.9454,29.3581,28.8668,29.3581
3/3/1994,29.3188,29.3188,29.2009,29.2795
3/4/1994,29.2795,29.4367,29.1812,29.3581
3/7/1994,29.4563,29.5546,29.4563,29.5153
3/8/1994,29.5349,29.5349,29.3581,29.3974
3/9/1994,29.4367,29.5546,29.2991,29.5349
3/10/1994,29.5153,29.5153,29.2009,29.2991
3/11/1994,29.3384,29.4956,29.1812,29.4563
3/14/1994,29.5742,29.5742,29.4563,29.4956
3/15/1994,29.5546,29.6135,29.4563,29.4760
3/16/1994,29.5153,29.7118,29.4170,29.7118
3/17/1994,29.6135,29.7511,29.6135,29.7118
3/18/1994,29.5670,29.7448,29.5472,29.7053
3/21/1994,29.6065,29.6856,29.5472,29.6262
3/22/1994,29.6262,29.7646,29.5670,29.7053
3/23/1994,29.6856,29.7646,29.6658,29.6856
3/24/1994,29.5670,29.6262,29.1914,29.3298
3/25/1994,29.3495,29.4286,29.0531,29.0531
3/28/1994,29.0926,29.1322,28.8357,29.0926
3/29/1994,29.0926,29.1124,28.5195,28.5195
3/30/1994,28.5393,28.6183,28.1242,28.1242
3/31/1994,28.1242,28.2626,27.5313,28.2032
4/4/1994,27.4127,27.8475,27.4127,27.7684
4/5/1994,28.0451,28.3416,28.0451,28.3416
4/6/1994,28.3811,28.4009,28.1440,28.3416
4/7/1994,28.3218,28.5393,28.1637,28.4799
4/8/1994,28.4207,28.4207,28.1242,28.2626
4/11/1994,28.3416,28.4997,28.2724,28.3811
4/12/1994,28.4107,28.4602,28.2823,28.3416
4/13/1994,28.3317,28.4009,27.9859,28.1934
4/14/1994,28.1440,28.3515,28.0847,28.2032
4/15/1994,28.1934,28.3218,28.1538,28.2032
4/18/1994,28.2329,28.3120,27.9265,28.0155
4/19/1994,27.9859,28.1637,27.8178,28.0550
4/20/1994,28.0847,28.1538,27.8771,28.0254
4/21/1994,28.1440,28.4404,28.0451,28.4009
4/22/1994,28.4701,28.4898,28.2922,28.3712
4/25/1994,28.3613,28.6874,28.3613,28.6677
4/26/1994,28.6282,28.6776,28.5788,28.6380
4/28/1994,28.5788,28.6183,28.3416,28.4305
4/29/1994,28.3811,28.5590,28.3416,28.5195
5/2/1994,28.5195,28.9147,28.4207,28.6974
5/3/1994,28.7072,28.7171,28.4997,28.6677
5/4/1994,28.7270,28.7270,28.5096,28.6183
5/5/1994,28.6479,28.6974,28.5788,28.5788
5/6/1994,28.4404,28.4404,28.2032,28.3021
5/9/1994,28.2230,28.3021,28.0056,28.0550
5/10/1994,28.1934,28.3613,28.1736,28.2724
5/11/1994,28.2428,28.2823,27.9364,28.0155
5/12/1994,28.1934,28.2230,28.0847,28.1538
5/13/1994,28.2329,28.2329,28.0155,28.1538
5/16/1994,28.2131,28.3021,28.1538,28.1637
5/17/1994,28.1835,28.5788,28.1440,28.5788
5/18/1994,28.5985,28.8950,28.4701,28.7863
5/19/1994,28.7270,29.0037,28.7270,28.9246
5/20/1994,28.8752,28.8950,28.7764,28.8160
5/23/1994,28.7863,28.7962,28.6776,28.7665
5/24/1994,28.8456,28.9938,28.8456,28.8851
5/25/1994,28.7764,28.9839,28.6776,28.9641
5/26/1994,28.9543,29.0531,28.9246,28.9839
5/27/1994,28.9345,29.0136,28.8851,29.0136
5/31/1994,28.9246,29.0333,28.8752,28.9741
6/1/1994,28.9049,29.1025,28.8160,29.1025
6/2/1994,29.1222,29.1222,29.0235,29.0729
6/3/1994,29.0926,29.3397,29.0037,29.2408
6/6/1994,29.3002,29.3891,29.2112,29.2310
6/7/1994,29.1816,29.2310,29.1124,29.1914
6/8/1994,29.2606,29.2606,28.9543,28.9543
6/9/1994,29.0827,29.1124,29.0235,29.1124
6/10/1994,29.1420,29.2211,29.1420,29.1618
6/13/1994,29.1222,29.2112,29.1124,29.2013
6/14/1994,29.2903,29.4385,29.2903,29.4286
6/15/1994,29.4385,29.4484,29.2903,29.3100
6/16/1994,29.3100,29.3891,29.2804,29.3693
6/17/1994,29.3855,29.4154,29.1667,29.2065
6/20/1994,28.9975,29.0473,28.9280,28.9577
6/21/1994,28.9379,28.9379,28.5897,28.7091
6/22/1994,28.7887,28.9180,28.7588,28.8185
6/23/1994,28.8682,28.9080,28.6096,28.6494
6/24/1994,28.5101,28.5101,28.0128,28.0526
6/27/1994,28.1619,28.5400,28.0227,28.5400
6/28/1994,28.5499,28.5499,28.1719,28.4007
6/29/1994,28.4405,28.6593,28.4107,28.4903
6/30/1994,28.5400,28.5499,28.2117,28.3112
7/1/1994,28.4505,28.4505,28.2515,28.3709
7/5/1994,28.4305,28.5598,28.3410,28.5200
7/6/1994,28.4107,28.5300,28.3112,28.4803
7/7/1994,28.4803,28.5996,28.4505,28.5996
7/8/1994,28.4206,28.6394,28.4107,28.5897
7/11/1994,28.6096,28.6593,28.3510,28.4903
7/12/1994,28.5002,28.5400,28.3410,28.5300
7/13/1994,28.5400,28.6693,28.5400,28.5798
7/14/1994,28.7190,28.9478,28.6991,28.8882
7/15/1994,28.8682,28.9577,28.8583,28.8981
7/18/1994,28.8981,29.0175,28.8981,28.9478
7/19/1994,28.9975,29.0075,28.8882,28.8882
7/20/1994,28.9080,28.9080,28.6892,28.7588
7/21/1994,28.7588,28.8384,28.6991,28.8185
7/22/1994,28.8882,28.9080,28.8086,28.8682
7/25/1994,28.8782,28.9379,28.8484,28.9080
7/26/1994,28.8981,28.9180,28.8484,28.8782
7/27/1994,28.8782,28.8782,28.7588,28.8782
7/28/1994,28.8782,29.0175,28.8782,28.9379
7/29/1994,29.1368,29.3159,29.1269,29.2264
8/1/1994,29.2463,29.3855,29.2164,29.3657
8/2/1994,29.4651,29.5248,29.3059,29.4054
8/3/1994,29.3954,29.4352,29.3457,29.4154
8/4/1994,29.3954,29.4253,29.2363,29.2463
8/5/1994,29.0970,29.1866,29.0672,29.1468
8/8/1994,29.1766,29.2463,29.1468,29.2164
8/9/1994,29.1070,29.2661,29.1070,29.2661
8/10/1994,29.2861,29.4054,29.2463,29.3756
8/11/1994,29.3059,29.4352,29.1169,29.2661
8/12/1994,29.3159,29.5049,29.3159,29.4950
8/15/1994,29.5248,29.5944,29.4850,29.4850
8/16/1994,29.5049,29.7238,29.3855,29.6939
8/17/1994,29.7337,29.7536,29.6541,29.6740
8/18/1994,29.5745,29.6442,29.5447,29.5745
8/19/1994,29.5845,29.6143,29.4850,29.5546
8/22/1994,29.5646,29.5646,29.4651,29.5248
8/23/1994,29.6541,29.8331,29.6143,29.6939
8/24/1994,29.7238,30.0122,29.7138,30.0122
8/25/1994,29.9824,30.0520,29.8531,29.9327
8/26/1994,30.0023,30.4201,30.0023,30.3604
8/29/1994,30.4400,30.5494,30.3306,30.3405
8/30/1994,30.3306,30.4698,30.2908,30.4201
8/31/1994,30.3704,30.4897,30.3007,30.3405
9/1/1994,30.2411,30.2609,30.1316,30.2411
9/2/1994,30.3803,30.3803,30.0620,30.1117
9/6/1994,30.0918,30.1515,30.0023,30.1217
9/7/1994,30.1913,30.1913,30.0620,30.0918
9/8/1994,30.1515,30.2808,30.1415,30.2411
9/9/1994,29.9426,30.0023,29.8034,29.9227
9/12/1994,29.9227,29.9625,29.7834,29.8331
9/13/1994,29.8929,30.0023,29.8331,29.9227
9/14/1994,29.8232,29.9923,29.8232,29.9525
9/15/1994,30.0321,30.3306,30.0321,30.3306
9/16/1994,30.1060,30.1961,30.0059,30.1160
9/19/1994,30.1861,30.3162,30.1160,30.1461
9/20/1994,29.9859,30.0159,29.5755,29.5755
9/21/1994,29.6656,29.6656,29.2953,29.5755
9/22/1994,29.6456,29.6456,29.4755,29.5055
9/23/1994,29.5155,29.5755,29.3554,29.4054
9/26/1994,29.5155,29.5755,29.4554,29.5555
9/27/1994,29.5555,29.6356,29.4655,29.5355
9/28/1994,29.6956,29.8057,29.6756,29.7657
9/29/1994,29.7657,29.7657,29.5255,29.6155
9/30/1994,29.6056,29.7457,29.5755,29.5755
10/3/1994,29.5956,29.6256,29.4554,29.5055
10/4/1994,29.6556,29.6556,29.0451,29.0651
10/5/1994,29.0150,29.0751,28.8249,29.0751
10/6/1994,29.0951,29.1151,28.9350,28.9851
10/7/1994,28.9851,29.1952,28.9550,29.1151
10/10/1994,29.2452,29.4755,29.2353,29.4254
10/11/1994,29.5555,29.9459,29.5555,29.8658
10/12/1994,29.9058,29.9459,29.8358,29.9058
10/13/1994,30.2461,30.3162,29.9759,30.0059
10/14/1994,30.1060,30.1461,29.9058,30.1360
10/17/1994,30.1060,30.1461,30.0459,30.0760
10/18/1994,30.0459,30.0459,29.9058,30.0059
10/19/1994,29.8958,30.2561,29.8858,30.1461
10/20/1994,30.1461,30.1461,29.8558,29.9459
10/21/1994,29.8658,29.9058,29.6956,29.8258
10/24/1994,29.8358,29.9559,29.5655,29.5755
10/25/1994,29.4755,29.6656,29.4655,29.6056
10/26/1994,29.7157,29.7457,29.5755,29.7157
10/27/1994,29.8258,29.8958,29.7557,29.8958
10/28/1994,29.9559,30.5564,29.9559,30.5264
10/31/1994,30.4563,30.4863,30.4062,30.4162
11/1/1994,30.2861,30.2861,30.0660,30.0760
11/2/1994,29.9859,30.2561,29.9058,29.9058
11/3/1994,30.0059,30.1160,29.9659,30.0660
11/4/1994,30.2061,30.2061,29.6756,29.6756
11/7/1994,29.7457,29.8458,29.6656,29.7657
11/8/1994,29.8658,30.0960,29.8157,29.9959
11/9/1994,30.3162,30.3162,29.7857,30.0459
11/10/1994,30.0660,30.1260,29.8157,29.8358
11/11/1994,29.7957,29.8258,29.6456,29.7257
11/14/1994,29.8558,30.0159,29.8558,30.0059
11/15/1994,29.9759,30.1660,29.6756,29.9058
11/16/1994,29.9559,30.0059,29.8558,30.0059
11/17/1994,30.0260,30.0260,29.6856,29.8057
11/18/1994,29.8157,29.8658,29.6356,29.7657
11/21/1994,29.7457,29.8358,29.4655,29.4655
11/22/1994,29.3554,29.4655,28.8249,28.8249
11/23/1994,28.8449,28.9950,28.5746,28.9851
11/25/1994,29.0050,29.1652,29.0050,29.1251
11/28/1994,29.1151,29.2653,29.0451,29.2552
11/29/1994,29.2452,29.3053,29.1452,29.2452
11/30/1994,29.3954,29.4354,29.2052,29.2052
12/1/1994,29.2353,29.2353,28.8549,28.9150
12/2/1994,28.8549,29.1852,28.8549,29.1852
12/5/1994,29.2452,29.3454,29.1452,29.2152
12/6/1994,29.1052,29.2452,29.0551,29.2353
12/7/1994,29.0551,29.1452,28.9950,29.0251
12/8/1994,29.1452,29.1852,28.6648,28.7448
12/9/1994,28.7448,28.8749,28.6247,28.8549
12/12/1994,28.7949,29.0451,28.7949,29.0451
12/13/1994,29.0251,29.1652,29.0251,29.1552
12/14/1994,29.1151,29.4354,29.1151,29.3053
12/15/1994,29.3454,29.4855,29.3454,29.3954
12/16/1994,29.4874,29.5983,29.4571,29.5378
12/19/1994,29.5378,29.5983,29.4470,29.5782
12/20/1994,29.6084,29.6286,29.4874,29.4874
12/21/1994,29.5076,29.8707,29.5076,29.8001
12/22/1994,29.8001,29.8304,29.6790,29.7093
12/23/1994,29.6891,29.8102,29.6891,29.7396
12/27/1994,29.8405,29.9615,29.8203,29.9010
12/28/1994,29.9312,29.9312,29.6790,29.7497
12/29/1994,29.8607,29.8607,29.7396,29.7698
12/30/1994,29.8304,29.8607,29.4168,29.4168
1/3/1995,29.5076,29.5983,29.4975,29.5580
1/4/1995,29.6891,29.6993,29.5378,29.6993
1/5/1995,29.7194,29.7698,29.6690,29.6993
1/6/1995,29.7598,29.8607,29.6387,29.7295
1/9/1995,29.7194,29.7598,29.6993,29.7598
1/10/1995,29.8304,29.9514,29.7900,29.7900
1/11/1995,29.8909,29.8909,29.5782,29.8102
1/12/1995,29.7800,29.8405,29.7194,29.8203
1/13/1995,29.9817,30.1733,29.9414,30.1733
1/16/1995,30.1633,30.3650,30.1633,30.3550
1/17/1995,30.2944,30.3852,30.2541,30.3650
1/18/1995,30.3449,30.3953,30.2642,30.3348
1/19/1995,30.2339,30.2642,30.1431,30.1633
1/20/1995,30.1229,30.1330,29.9918,30.0523
1/23/1995,29.8505,30.1431,29.8304,30.1431
1/24/1995,30.1330,30.1835,30.1129,30.1835
1/25/1995,30.0321,30.3751,30.0321,30.2642
1/26/1995,30.2440,30.3348,30.1835,30.2944
1/27/1995,30.4962,30.4962,30.2944,30.4155
1/30/1995,30.3550,30.3751,30.2440,30.2843
1/31/1995,30.3449,30.4558,30.2944,30.4054
2/1/1995,30.4457,30.5567,30.3449,30.3953
2/2/1995,30.3852,30.5769,30.3852,30.5769
2/3/1995,30.7686,31.0611,30.7181,31.0107
2/6/1995,31.0006,31.2326,30.9703,31.1418
2/7/1995,31.1923,31.1923,31.0813,31.1822
2/8/1995,31.1418,31.2931,31.1217,31.1822
2/9/1995,31.1317,31.1822,31.0712,31.1822
2/10/1995,31.1418,31.2225,31.0510,31.2225
2/13/1995,31.2024,31.2931,31.2024,31.2326
2/14/1995,31.3335,31.3335,31.1519,31.2730
2/15/1995,31.2730,31.4848,31.2427,31.4445
2/16/1995,31.4041,31.4344,31.3133,31.4041
2/17/1995,31.3738,31.3941,31.2730,31.2831
2/21/1995,31.2831,31.3335,31.2629,31.2730
2/22/1995,31.3032,31.5050,31.2831,31.5050
2/23/1995,31.6260,31.7370,31.5453,31.5555
2/24/1995,31.5958,31.6462,31.5151,31.6362
2/27/1995,31.5453,31.6362,31.3335,31.3839
2/28/1995,31.3537,31.6462,31.3537,31.6462
3/1/1995,31.6160,31.6563,31.4142,31.4445
3/2/1995,31.4344,31.4848,31.3436,31.4848
3/3/1995,31.3839,31.4949,31.3032,31.4949
3/6/1995,31.2831,31.5151,31.2427,31.5151
3/7/1995,31.4041,31.4748,31.1317,31.2730
3/8/1995,31.3234,31.3941,31.2124,31.3537
3/9/1995,31.3436,31.3738,31.2629,31.3436
3/10/1995,31.3738,31.8884,31.3335,31.8076
3/13/1995,31.7874,31.8884,31.7471,31.7774
3/14/1995,31.8681,32.0498,31.8681,32.0094
3/15/1995,31.9590,32.0094,31.8278,31.9488
3/16/1995,31.9186,32.1607,31.9186,32.1405
3/17/1995,32.0912,32.2129,32.0709,32.1724
3/20/1995,32.2129,32.2129,32.1115,32.1724
3/21/1995,32.1724,32.3752,32.0405,32.0912
3/22/1995,32.1520,32.1520,32.0202,32.1216
3/23/1995,32.0810,32.2332,32.0405,32.1419
3/24/1995,32.2433,32.5983,32.2433,32.5983
3/27/1995,32.6490,32.7302,32.5679,32.7302
3/28/1995,32.6490,32.7302,32.6085,32.7302
3/29/1995,32.6998,33.0345,32.5375,32.7200
3/30/1995,32.7910,32.7910,32.5273,32.6592
3/31/1995,32.4056,32.5679,32.1622,32.5273
4/3/1995,32.5172,32.6085,32.4969,32.6085
4/4/1995,32.6186,32.8215,32.6186,32.8215
4/5/1995,32.7505,32.8519,32.7302,32.8215
4/6/1995,32.9026,32.9736,32.8417,32.9432
4/7/1995,33.0142,33.0142,32.7606,32.9128
4/10/1995,32.8621,32.9736,32.8417,32.9736
4/11/1995,33.0547,33.0649,32.8417,32.8621
4/12/1995,32.9128,32.9736,32.8519,32.9736
4/13/1995,33.0345,33.1663,33.0142,33.1562
4/17/1995,33.2779,33.3083,32.8621,32.9635
4/18/1995,32.9939,32.9939,32.7707,32.8519
4/19/1995,32.8519,32.9229,32.6490,32.8215
4/20/1995,32.9128,32.9635,32.7404,32.8722
4/21/1995,32.8823,33.0446,32.8823,33.0345
4/24/1995,33.0142,33.4199,33.0142,33.4199
4/25/1995,33.3692,33.4199,33.3083,33.3286
4/26/1995,33.2678,33.3793,33.1866,33.3590
4/27/1995,33.3083,33.4604,33.2880,33.4402
4/28/1995,33.4301,33.5416,33.2170,33.4909
5/1/1995,33.4604,33.5314,33.3996,33.3996
5/2/1995,33.4301,33.5213,33.3590,33.4706
5/3/1995,33.5821,33.9371,33.5821,33.9371
5/4/1995,33.9777,34.2009,33.8358,33.9169
5/5/1995,34.0589,34.0589,33.8053,33.8763
5/8/1995,33.8459,34.2313,33.8154,34.1197
5/9/1995,34.2617,34.3023,34.0386,34.0893
5/10/1995,34.1806,34.1907,33.9676,34.1299
5/11/1995,34.1806,34.2211,34.0690,34.2211
5/12/1995,34.0893,34.3226,34.0792,34.2415
5/15/1995,34.3327,34.4037,34.2617,34.4037
5/16/1995,34.3936,34.5051,34.3327,34.4240
5/17/1995,34.4240,34.4341,34.2617,34.2922
5/18/1995,34.2313,34.2516,33.7952,33.7952
5/19/1995,33.7444,33.8763,33.6937,33.8154
5/22/1995,33.9270,34.2415,33.9067,34.1907
5/23/1995,34.2516,34.5051,34.1501,34.5051
5/24/1995,34.5660,34.6775,34.2718,34.4849
5/25/1995,34.3834,34.5457,34.2211,34.5153
5/26/1995,34.3834,34.3936,33.9878,34.1197
5/30/1995,34.2009,34.2922,33.9980,34.1096
5/31/1995,34.0487,34.8196,34.0487,34.8196
6/1/1995,34.6674,34.9920,34.5660,34.7283
6/2/1995,34.5863,35.0021,34.4646,34.7587
6/5/1995,34.7587,35.0832,34.7283,34.9717
6/6/1995,34.9413,35.0630,34.9108,34.9108
6/7/1995,34.8398,34.8601,34.6877,34.7283
6/8/1995,34.7181,34.8196,34.6472,34.6472
6/9/1995,34.5761,34.6167,34.2415,34.4443
6/12/1995,34.5558,34.7790,34.5356,34.6370
6/13/1995,34.7993,35.0326,34.7689,35.0123
6/14/1995,34.9615,35.0224,34.8500,34.9819
6/15/1995,35.0326,35.2050,34.9717,35.1340
6/16/1995,35.0643,35.2377,35.0643,35.2377
6/19/1995,35.3397,35.6559,35.3193,35.6356
6/20/1995,35.5335,35.6559,35.5131,35.5438
6/21/1995,35.6559,35.6866,35.5233,35.5233
6/22/1995,35.6764,36.0130,35.6764,35.9927
6/23/1995,35.9110,35.9314,35.8090,35.9212
6/26/1995,35.8192,35.8804,35.4927,35.4927
6/27/1995,35.4825,35.7172,35.4009,35.4213
6/28/1995,35.4213,35.7478,35.3091,35.6049
6/29/1995,35.6049,35.6967,35.2989,35.5438
6/30/1995,35.6151,35.7376,35.4519,35.5233
7/3/1995,35.5641,35.6559,35.5641,35.6559
7/5/1995,35.7580,35.9518,35.6764,35.7886
7/6/1995,35.7988,36.2477,35.7274,36.2477
7/7/1995,36.1763,36.4211,36.1559,36.4109
7/10/1995,36.4415,36.5333,36.3701,36.4313
7/11/1995,36.4007,36.4313,36.2069,36.2579
7/12/1995,36.3293,36.7680,36.2579,36.7068
7/13/1995,36.6558,36.7374,36.5843,36.6251
7/14/1995,36.4313,36.6251,36.4007,36.5945
7/17/1995,36.6456,36.8394,36.6150,36.7986
7/18/1995,36.7374,36.7374,36.4517,36.4824
7/19/1995,36.3395,36.3803,35.3907,36.0845
7/20/1995,36.1253,36.2885,35.9314,36.2171
7/21/1995,36.1864,36.3191,36.0335,36.1763
7/24/1995,36.2273,36.4824,36.2273,36.4415
7/25/1995,36.4824,36.7680,36.3701,36.7169
7/26/1995,36.6966,36.8700,36.6761,36.6864
7/27/1995,36.8598,37.0230,36.8598,36.9924
