,opn,high,low,close,volume,epochDate,date
67,43.1825,43.2675,43.0675,43.2285,6821796.0,1551972600000,2019-03-07 07:30:00-08:00
68,43.2275,43.3075,43.1825,43.2575,4683064.0,1551974400000,2019-03-07 08:00:00-08:00
69,43.26,43.4125,43.26,43.4,4671448.0,1551976200000,2019-03-07 08:30:00-08:00
70,43.3988,43.4223,43.3175,43.395,3885588.0,1551978000000,2019-03-07 09:00:00-08:00
71,43.3925,43.5575,43.2575,43.5,5586480.0,1551979800000,2019-03-07 09:30:00-08:00
72,43.5,43.555,43.4325,43.455,3067104.0,1551981600000,2019-03-07 10:00:00-08:00
73,43.455,43.495,43.35,43.44,3101184.0,1551983400000,2019-03-07 10:30:00-08:00
74,43.4375,43.46,43.3025,43.3313,3777852.0,1551985200000,2019-03-07 11:00:00-08:00
75,43.3325,43.35,43.14,43.185,5429364.0,1551987000000,2019-03-07 11:30:00-08:00
76,43.1875,43.205,43.0925,43.115,6904660.0,1551988800000,2019-03-07 12:00:00-08:00
77,43.1125,43.215,43.075,43.1175,10101488.0,1551990600000,2019-03-07 12:30:00-08:00
78,42.58,42.8675,42.375,42.795,16022084.0,1552055400000,2019-03-08 06:30:00-08:00
79,42.7925,42.945,42.6703,42.895,8824224.0,1552057200000,2019-03-08 07:00:00-08:00
80,42.8975,42.9925,42.78,42.8975,6371136.0,1552059000000,2019-03-08 07:30:00-08:00
81,42.8925,43.0675,42.8725,42.9975,5886720.0,1552060800000,2019-03-08 08:00:00-08:00
82,42.9953,43.015,42.9075,42.92,3890916.0,1552062600000,2019-03-08 08:30:00-08:00
83,42.9225,42.9475,42.8125,42.8825,3948900.0,1552064400000,2019-03-08 09:00:00-08:00
84,42.885,42.9175,42.8175,42.835,2598236.0,1552066200000,2019-03-08 09:30:00-08:00
85,42.835,42.8775,42.8075,42.8359,2918020.0,1552068000000,2019-03-08 10:00:00-08:00
86,42.8375,42.9525,42.81,42.9513,3121532.0,1552069800000,2019-03-08 10:30:00-08:00
87,42.9525,43.0175,42.91,42.9875,3276892.0,1552071600000,2019-03-08 11:00:00-08:00
88,42.99,43.1875,42.985,43.125,5461940.0,1552073400000,2019-03-08 11:30:00-08:00
89,43.12,43.1875,42.995,43.0375,5773888.0,1552075200000,2019-03-08 12:00:00-08:00
90,43.03,43.2675,43.0075,43.23,10490540.0,1552077000000,2019-03-08 12:30:00-08:00
91,43.8725,44.3375,43.8375,44.3339,19849876.0,1552311000000,2019-03-11 06:30:00-07:00
92,44.335,44.42,44.2525,44.375,11275192.0,1552312800000,2019-03-11 07:00:00-07:00
93,44.3751,44.5425,44.3575,44.533,10576404.0,1552314600000,2019-03-11 07:30:00-07:00
94,44.5325,44.655,44.5,44.6375,7621216.0,1552316400000,2019-03-11 08:00:00-07:00
95,44.6375,44.7275,44.5775,44.6938,7710272.0,1552318200000,2019-03-11 08:30:00-07:00
96,44.695,44.745,44.635,44.6375,5904792.0,1552320000000,2019-03-11 09:00:00-07:00
97,44.6375,44.6875,44.6175,44.635,4305236.0,1552321800000,2019-03-11 09:30:00-07:00
98,44.6375,44.71,44.615,44.71,5078784.0,1552323600000,2019-03-11 10:00:00-07:00
99,44.7083,44.7375,44.6875,44.71,3559264.0,1552325400000,2019-03-11 10:30:00-07:00
100,44.71,44.7152,44.64,44.6625,4057992.0,1552327200000,2019-03-11 11:00:00-07:00
101,44.6674,44.705,44.6275,44.66,4752296.0,1552329000000,2019-03-11 11:30:00-07:00
102,44.66,44.735,44.6125,44.7125,7797624.0,1552330800000,2019-03-11 12:00:00-07:00
103,44.7125,44.78,44.6875,44.745,13676288.0,1552332600000,2019-03-11 12:30:00-07:00
