,tAvePos,tAveNeg,tAveNeut,dAvePos,dAveNeg,dAveNeut,Cnt
116,-0.5302880279381167,0.990115228024396,-0.1219421001997861,-0.4192371219396591,1.0277095807321144,-0.2857686450535601,33
117,-0.0508250743150711,2.362459659576416,-2.021900415420532,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
118,0.08586253225803375,0.6303611993789673,-0.6822048034518957,-0.6261878944933414,0.44880073610693205,0.6127170994877816,4
119,-1.509856104850769,-0.4099749326705932,2.4903364181518555,0.0648201555013656,0.8083155751228333,-1.5108177661895752,1
120,-0.969850997130076,0.45554856459299725,0.9080415964126587,-0.10147938753167786,0.33770453929901123,0.03271097938219706,3
121,-0.4471510003010432,1.798511226971944,-1.2176027198632557,-1.2047463456789653,1.0629193633794785,0.8376492659250895,3
122,0.0445137657225132,2.275918960571289,-2.1047251224517822,-0.1453385204076767,1.3215816020965576,-1.2427141666412354,1
123,,,,,,,0
124,0.2166561186313629,2.187368869781494,-2.1476776599884038,-1.6646037101745603,-0.3566782474517822,2.4808459281921387,1
125,-0.60974265858531,1.311452677845955,-0.2701467514038086,-0.4646455168724061,1.5328134059906007,-0.6238367080688477,5
126,-1.2120508551597595,1.75099378824234,0.24043351411819458,0.1668059229850769,1.5652733743190765,-1.5414896607398987,2
127,0.033984437584877,2.2839670181274414,-2.075227737426758,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
128,-0.063163973391056,2.3973827362060547,-2.0440115928649902,0.0577972792088985,2.193424224853516,-2.107842445373535,1
129,-0.5162492270270983,0.24860570502157012,0.4447263963520527,-0.24315768107771873,0.877449532931981,-0.4231624957174063,24
130,-0.10541753967603047,0.7161912520726522,-0.4697640339533488,0.6861556246876717,-0.537642776966095,-0.3873668809731801,3
131,1.964140772819519,-1.0375617742538452,-2.0981792211532593,1.9522414207458496,-1.1805408000946045,-2.0131266117095947,2
132,,,,,,,0
133,-0.000281602027826,2.328592538833618,-2.0594754219055176,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
134,-1.176904797554016,2.324937105178833,-0.2450905293226242,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
135,-0.8136628717184067,1.0176237672567368,0.10082064568996424,-0.9534254223108292,1.3538954704999924,0.017717115581035614,4
136,-0.7463394999504089,2.411900758743286,-1.1542039513587952,-1.2772844433784485,2.568187117576599,-0.5718752443790436,2
