,tAvePos,tAveNeg,tAveNeut,dAvePos,dAveNeg,dAveNeut,Cnt
121,-1.2531979084014893,2.1148178577423096,-0.03728070855140686,-0.9624909162521362,1.167346365749836,0.4144582748413086,2
122,-1.1109957695007324,1.035061955451965,0.5407543182373047,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
123,-1.713066339492798,-0.001753038377501,2.592250108718872,-1.7662529945373535,0.3826197683811188,2.3919677734375,1
124,,,,,,,0
125,,,,,,,0
126,0.1968549937009811,2.14176082611084,-1.80350124835968,-0.1453089714050293,2.4117770195007324,-1.8283036947250368,1
127,-1.6210889021555583,1.604079286257426,1.111590564250946,-1.1083292216062546,1.5218583742777507,0.32150439367008704,3
128,0.3893312215805053,2.098344564437866,-2.401055335998535,-0.2141328305006027,2.4052634239196777,-1.9961589574813845,1
129,-0.5483478863257915,1.8331315495073794,-0.8058219611644745,-0.5489216208196013,1.2651029975153505,-0.2491230696439743,40
130,-0.8119998474915823,2.4014337062835693,-1.002696931362152,-0.08081351717313127,2.058419426282247,-1.7522635459899902,3
131,-0.24312016367912292,1.190985083580017,-0.5956854224205017,0.2770383358001709,1.333753764629364,-1.346272800117731,2
132,-1.3390860557556152,0.4494412243366241,1.3452104330062866,-1.1395095586776731,2.522124052047729,-0.6672306060791016,1
133,0.2140364944934845,2.2568397521972656,-2.262403964996338,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
134,,,,,,,0
135,,,,,,,0
136,-0.3186723291873932,2.429394245147705,-1.6910107135772705,-0.520683228969574,2.395845890045166,-1.5498039722442627,1
137,0.4279223680496216,2.0339552760124207,-2.376604199409485,0.3914377614855766,2.1067110300064087,-2.3634694814682007,2
138,-0.2209668606519699,2.4613757133483887,-2.075922966003418,-0.706748366355896,2.5697991847991943,-1.444555163383484,1
139,,,,,,,0
140,,,,,,,0
141,0.302327960729599,2.217892408370972,-2.3399858474731445,-1.1260180473327637,1.869279146194458,-0.1588532030582428,1
142,-0.44975819152135116,1.7742047395843725,-0.9255350180543386,-0.1174509425002795,1.0927149951457977,-0.7160440591665415,26
143,-0.9186514218648275,1.3470481832822163,0.05492536226908366,-0.7898706247409185,1.5254732767740886,-0.12893488506476086,3
144,-0.7949659824371338,2.3828654289245605,-1.0697702169418335,-1.8126742839813232,0.8817997574806213,2.0992062091827397,1
145,,,,,,,0
146,0.7921361327171326,1.8538113832473757,-2.489506244659424,1.5484994649887085,0.4370761513710022,-2.59311842918396,1
147,-1.1226545572280884,1.4526774883270264,0.6198359131813049,-0.3892559111118316,1.3577194213867188,-0.1908472180366516,1
148,-0.7998272180557251,2.381311655044556,-0.8890097737312317,-0.0454919748008251,2.0126514434814453,-1.921165108680725,1
149,-0.9885903596878052,2.441734194755554,-0.828260138630867,-0.06911593675613403,1.9866195917129519,-1.581349492073059,2
150,,,,,,,0
151,-0.8415641784667969,2.530179500579834,-1.222447156906128,-0.3111177384853363,2.3234305381774902,-1.7281588315963743,1
152,,,,,,,0
153,0.2455479949712753,2.218190908432007,-2.379391670227051,0.5027963519096375,2.097523927688598,-2.4697561264038086,1
154,-0.2704007724920909,2.1620537439982095,-1.6043460369110107,-0.2747080773115158,1.9963356653849285,-1.388824502627055,3
155,-0.28727774760045577,2.00965626478137,-1.344638932379894,-0.10345341745414771,1.6986957314657047,-1.3088480354635976,64
156,-0.8264801502227783,2.2708547115325928,-0.8610405325889587,0.2266974300146103,0.3930890560150146,-0.2787887752056122,1
157,,,,,,,0
158,,,,,,,0
159,-1.7256433367729187,1.3505998253822327,1.50257009267807,0.2266974300146103,0.3930890560150146,-0.2787887752056122,2
